SEMESTER,CAT,AGE,SEX,CONCEPT,status,value
2012S1,TOTAL,Y096,F,POP,,2199
2012S1,TOTAL,Y096,TOTAL,POP,,2829
2012S1,TOTAL,Y097,M,POP,,454
2012S1,TOTAL,Y097,F,POP,,1719
2012S1,TOTAL,Y097,TOTAL,POP,,2173
2012S1,TOTAL,Y098,M,POP,,306
2012S1,TOTAL,Y098,F,POP,,1187
2012S1,TOTAL,Y098,TOTAL,POP,,1493
2012S1,TOTAL,Y099,M,POP,,201
2012S1,TOTAL,Y099,F,POP,,865
2012S1,TOTAL,Y099,TOTAL,POP,,1066
2012S1,TOTAL,Y100,M,POP,,130
2012S1,TOTAL,Y100,F,POP,,532
2012S1,TOTAL,Y100,TOTAL,POP,,662
2012S1,TOTAL,Y101,M,POP,,76
2012S1,TOTAL,Y101,F,POP,,339
2012S1,TOTAL,Y101,TOTAL,POP,,415
2012S1,TOTAL,Y102,M,POP,,56
2012S1,TOTAL,Y102,F,POP,,202
2012S1,TOTAL,Y102,TOTAL,POP,,258
2012S1,TOTAL,Y103,M,POP,,22
2012S1,TOTAL,Y103,F,POP,,109
2012S1,TOTAL,Y103,TOTAL,POP,,131
2012S1,TOTAL,Y104,M,POP,,12
2012S1,TOTAL,Y104,F,POP,,68
2012S1,TOTAL,Y104,TOTAL,POP,,80
2012S1,TOTAL,Y_GE105,M,POP,,12
2012S1,TOTAL,Y_GE105,F,POP,,57
2012S1,TOTAL,Y_GE105,TOTAL,POP,,69
2012S1,TOTAL,TOTAL,M,POP,,3713546
2012S1,TOTAL,TOTAL,F,POP,,3801852
2012S1,TOTAL,TOTAL,TOTAL,POP,,7515398
2012S2,TOTAL,Y000,M,POP,,41046
2012S2,TOTAL,Y000,F,POP,,38674
2012S2,TOTAL,Y000,TOTAL,POP,,79720
2012S2,TOTAL,Y001,M,POP,,43175
2012S2,TOTAL,Y001,F,POP,,40431
2012S2,TOTAL,Y001,TOTAL,POP,,83606
2012S2,TOTAL,Y002,M,POP,,43981
2012S2,TOTAL,Y002,F,POP,,40725
2012S2,TOTAL,Y002,TOTAL,POP,,84706
2012S2,TOTAL,Y003,M,POP,,45091
2012S2,TOTAL,Y003,F,POP,,41984
2012S2,TOTAL,Y003,TOTAL,POP,,87075
2012S2,TOTAL,Y004,M,POP,,44931
2012S2,TOTAL,Y004,F,POP,,42085
2012S2,TOTAL,Y004,TOTAL,POP,,87016
2012S2,TOTAL,Y005,M,POP,,43744
2012S2,TOTAL,Y005,F,POP,,40924
2012S2,TOTAL,Y005,TOTAL,POP,,84668
2012S2,TOTAL,Y006,M,POP,,43112
2012S2,TOTAL,Y006,F,POP,,40327
2012S2,TOTAL,Y006,TOTAL,POP,,83439
2012S2,TOTAL,Y007,M,POP,,42111
2012S2,TOTAL,Y007,F,POP,,39640
2012S2,TOTAL,Y007,TOTAL,POP,,81751
2012S2,TOTAL,Y008,M,POP,,41075
2012S2,TOTAL,Y008,F,POP,,38708
2012S2,TOTAL,Y008,TOTAL,POP,,79783
2012S2,TOTAL,Y009,M,POP,,39534
2012S2,TOTAL,Y009,F,POP,,37132
