any;Catalunya;edat any a any;nacionalitat;sexe;concepte;estat;valor
2021;Catalunya;16 anys;espanyola;total;població;;73327
2021;Catalunya;16 anys;estrangera;homes;població;;5151
2021;Catalunya;16 anys;estrangera;dones;població;;4505
2021;Catalunya;16 anys;estrangera;total;població;;9656
2021;Catalunya;16 anys;total;homes;població;;42650
2021;Catalunya;16 anys;total;dones;població;;40333
2021;Catalunya;16 anys;total;total;població;;82983
2021;Catalunya;17 anys;espanyola;homes;població;;36501
2021;Catalunya;17 anys;espanyola;dones;població;;34609
2021;Catalunya;17 anys;espanyola;total;població;;71110
2021;Catalunya;17 anys;estrangera;homes;població;;5694
2021;Catalunya;17 anys;estrangera;dones;població;;4380
2021;Catalunya;17 anys;estrangera;total;població;;10074
2021;Catalunya;17 anys;total;homes;població;;42195
2021;Catalunya;17 anys;total;dones;població;;38989
2021;Catalunya;17 anys;total;total;població;;81184
2021;Catalunya;18 anys;espanyola;homes;població;;34937
2021;Catalunya;18 anys;espanyola;dones;població;;33234
2021;Catalunya;18 anys;espanyola;total;població;;68171
2021;Catalunya;18 anys;estrangera;homes;població;;6658
2021;Catalunya;18 anys;estrangera;dones;població;;4384
2021;Catalunya;18 anys;estrangera;total;població;;11042
2021;Catalunya;18 anys;total;homes;població;;41595
2021;Catalunya;18 anys;total;dones;població;;37618
2021;Catalunya;18 anys;total;total;població;;79213
2021;Catalunya;19 anys;espanyola;homes;població;;34040
2021;Catalunya;19 anys;espanyola;dones;població;;32453
2021;Catalunya;19 anys;espanyola;total;població;;66493
2021;Catalunya;19 anys;estrangera;homes;població;;7723
2021;Catalunya;19 anys;estrangera;dones;població;;5411
2021;Catalunya;19 anys;estrangera;total;població;;13134
2021;Catalunya;19 anys;total;homes;població;;41763
2021;Catalunya;19 anys;total;dones;població;;37864
2021;Catalunya;19 anys;total;total;població;;79627
2021;Catalunya;20 anys;espanyola;homes;població;;34326
2021;Catalunya;20 anys;espanyola;dones;població;;32709
2021;Catalunya;20 anys;espanyola;total;població;;67035
2021;Catalunya;20 anys;estrangera;homes;població;;7849
2021;Catalunya;20 anys;estrangera;dones;població;;6240
2021;Catalunya;20 anys;estrangera;total;població;;14089
2021;Catalunya;20 anys;total;homes;població;;42175
2021;Catalunya;20 anys;total;dones;població;;38949
2021;Catalunya;20 anys;total;total;població;;81124
2021;Catalunya;21 anys;espanyola;homes;població;;32887
2021;Catalunya;21 anys;espanyola;dones;població;;31226
2021;Catalunya;21 anys;espanyola;total;població;;64113
2021;Catalunya;21 anys;estrangera;homes;població;;8393
2021;Catalunya;21 anys;estrangera;dones;població;;7060
2021;Catalunya;21 anys;estrangera;total;població;;15453
2021;Catalunya;21 anys;total;homes;població;;41280
2021;Catalunya;21 anys;total;dones;població;;38286
2021;Catalunya;21 anys;total;total;població;;79566
2021;Catalunya;22 anys;espanyola;homes;població;;31854
2021;Catalunya;22 anys;espanyola;dones;població;;29384
2021;Catalunya;22 anys;espanyola;total;població;;61238
2021;Catalunya;22 anys;estrangera;homes;població;;8765
2021;Catalunya;22 anys;estrangera;dones;població;;8016
2021;Catalunya;22 anys;estrangera;total;població;;16781
2021;Catalunya;22 anys;total;homes;població;;40619
2021;Catalunya;22 anys;total;dones;població;;37400
2021;Catalunya;22 anys;total;total;població;;78019
2021;Catalunya;23 anys;espanyola;homes;població;;31493
2021;Catalunya;23 anys;espanyola;dones;població;;29807
2021;Catalunya;23 anys;espanyola;total;població;;61300
2021;Catalunya;23 anys;estrangera;homes;població;;9911
2021;Catalunya;23 anys;estrangera;dones;població;;9188
2021;Catalunya;23 anys;estrangera;total;població;;19099
2021;Catalunya;23 anys;total;homes;població;;41404
2021;Catalunya;23 anys;total;dones;població;;38995
2021;Catalunya;23 anys;total;total;població;;80399
2021;Catalunya;24 anys;espanyola;homes;població;;30750
2021;Catalunya;24 anys;espanyola;dones;població;;28674
2021;Catalunya;24 anys;espanyola;total;població;;59424
2021;Catalunya;24 anys;estrangera;homes;població;;10710
2021;Catalunya;24 anys;estrangera;dones;població;;9865
2021;Catalunya;24 anys;estrangera;total;població;;20575
2021;Catalunya;24 anys;total;homes;població;;41460
2021;Catalunya;24 anys;total;dones;població;;38539
2021;Catalunya;24 anys;total;total;població;;79999
2021;Catalunya;25 anys;espanyola;homes;població;;30228
2021;Catalunya;25 anys;espanyola;dones;població;;28582
2021;Catalunya;25 anys;espanyola;total;població;;58810
2021;Catalunya;25 anys;estrangera;homes;població;;11557
2021;Catalunya;25 anys;estrangera;dones;població;;11226
2021;Catalunya;25 anys;estrangera;total;població;;22783
2021;Catalunya;25 anys;total;homes;població;;41785
2021;Catalunya;25 anys;total;dones;població;;39808
2021;Catalunya;25 anys;total;total;població;;81593
2021;Catalunya;26 anys;espanyola;homes;població;;30389
2021;Catalunya;26 anys;espanyola;dones;població;;29060
2021;Catalunya;26 anys;espanyola;total;població;;59449
2021;Catalunya;26 anys;estrangera;homes;població;;12538
2021;Catalunya;26 anys;estrangera;dones;població;;12281
2021;Catalunya;26 anys;estrangera;total;població;;24819
2021;Catalunya;26 anys;total;homes;població;;42927
2021;Catalunya;26 anys;total;dones;població;;41341
2021;Catalunya;26 anys;total;total;població;;84268
