Suma de Any,Suma de Coneguts,Suma de Detencions,Suma de Mes,Àrea Bàsica Policial (ABP),Nom mes,Suma de Resolts,Regió Policial (RP),Tipus de fet,Títol Codi Penal
26221,176,8,143,ABP Alt Camp - C. de Barberà,novembre,13,RP Camp de Tarragona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,67,29,143,ABP Alt Camp - C. de Barberà,novembre,29,RP Camp de Tarragona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,58,9,143,ABP Alt Camp - C. de Barberà,novembre,24,RP Camp de Tarragona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
24201,27,0,120,ABP Alt Camp - C. de Barberà,octubre,17,RP Camp de Tarragona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,513,6,130,ABP Alt Camp - C. de Barberà,octubre,111,RP Camp de Tarragona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,828,52,130,ABP Alt Camp - C. de Barberà,octubre,102,RP Camp de Tarragona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,168,8,130,ABP Alt Camp - C. de Barberà,octubre,12,RP Camp de Tarragona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,67,20,130,ABP Alt Camp - C. de Barberà,octubre,30,RP Camp de Tarragona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,51,7,130,ABP Alt Camp - C. de Barberà,octubre,19,RP Camp de Tarragona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
20178,10,1,90,ABP Alt Camp - C. de Barberà,setembre,7,RP Camp de Tarragona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,536,22,117,ABP Alt Camp - C. de Barberà,setembre,97,RP Camp de Tarragona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,780,79,117,ABP Alt Camp - C. de Barberà,setembre,132,RP Camp de Tarragona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,164,5,117,ABP Alt Camp - C. de Barberà,setembre,15,RP Camp de Tarragona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,56,30,117,ABP Alt Camp - C. de Barberà,setembre,36,RP Camp de Tarragona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,46,9,117,ABP Alt Camp - C. de Barberà,setembre,26,RP Camp de Tarragona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,47,3,52,ABP Alt Empordà - Figueres,abril,37,RP Girona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
