SEMESTER,CAT,AGE,SEX,CONCEPT,status,value
2023S2,TOTAL,Y048,TOTAL,POP,p,137313
2023S2,TOTAL,Y049,M,POP,p,68157
2023S2,TOTAL,Y049,F,POP,p,65618
2023S2,TOTAL,Y049,TOTAL,POP,p,133775
2023S2,TOTAL,Y050,M,POP,p,66167
2023S2,TOTAL,Y050,F,POP,p,64040
2023S2,TOTAL,Y050,TOTAL,POP,p,130207
2023S2,TOTAL,Y051,M,POP,p,64563
2023S2,TOTAL,Y051,F,POP,p,62492
2023S2,TOTAL,Y051,TOTAL,POP,p,127055
2023S2,TOTAL,Y052,M,POP,p,62754
2023S2,TOTAL,Y052,F,POP,p,61038
2023S2,TOTAL,Y052,TOTAL,POP,p,123792
2023S2,TOTAL,Y053,M,POP,p,60804
2023S2,TOTAL,Y053,F,POP,p,59719
2023S2,TOTAL,Y053,TOTAL,POP,p,120523
2023S2,TOTAL,Y054,M,POP,p,59012
2023S2,TOTAL,Y054,F,POP,p,58301
2023S2,TOTAL,Y054,TOTAL,POP,p,117313
2023S2,TOTAL,Y055,M,POP,p,58171
2023S2,TOTAL,Y055,F,POP,p,57884
2023S2,TOTAL,Y055,TOTAL,POP,p,116055
2023S2,TOTAL,Y056,M,POP,p,57119
2023S2,TOTAL,Y056,F,POP,p,57142
2023S2,TOTAL,Y056,TOTAL,POP,p,114261
2023S2,TOTAL,Y057,M,POP,p,55550
2023S2,TOTAL,Y057,F,POP,p,56047
2023S2,TOTAL,Y057,TOTAL,POP,p,111597
2023S2,TOTAL,Y058,M,POP,p,54748
2023S2,TOTAL,Y058,F,POP,p,55874
2023S2,TOTAL,Y058,TOTAL,POP,p,110622
2023S2,TOTAL,Y059,M,POP,p,52514
2023S2,TOTAL,Y059,F,POP,p,54420
2023S2,TOTAL,Y059,TOTAL,POP,p,106934
2023S2,TOTAL,Y060,M,POP,p,49579
2023S2,TOTAL,Y060,F,POP,p,52157
2023S2,TOTAL,Y060,TOTAL,POP,p,101736
2023S2,TOTAL,Y061,M,POP,p,47654
2023S2,TOTAL,Y061,F,POP,p,50872
2023S2,TOTAL,Y061,TOTAL,POP,p,98526
2023S2,TOTAL,Y062,M,POP,p,46413
2023S2,TOTAL,Y062,F,POP,p,50285
2023S2,TOTAL,Y062,TOTAL,POP,p,96698
2023S2,TOTAL,Y063,M,POP,p,45501
2023S2,TOTAL,Y063,F,POP,p,49794
2023S2,TOTAL,Y063,TOTAL,POP,p,95295
2023S2,TOTAL,Y064,M,POP,p,44256
2023S2,TOTAL,Y064,F,POP,p,48837
2023S2,TOTAL,Y064,TOTAL,POP,p,93093
2023S2,TOTAL,Y065,M,POP,p,43044
2023S2,TOTAL,Y065,F,POP,p,47745
2023S2,TOTAL,Y065,TOTAL,POP,p,90789
2023S2,TOTAL,Y066,M,POP,p,40696
2023S2,TOTAL,Y066,F,POP,p,45620
2023S2,TOTAL,Y066,TOTAL,POP,p,86316
2023S2,TOTAL,Y067,M,POP,p,38514
2023S2,TOTAL,Y067,F,POP,p,43590
2023S2,TOTAL,Y067,TOTAL,POP,p,82104
2023S2,TOTAL,Y068,M,POP,p,37041
2023S2,TOTAL,Y068,F,POP,p,42411
2023S2,TOTAL,Y068,TOTAL,POP,p,79452
2023S2,TOTAL,Y069,M,POP,p,35980
2023S2,TOTAL,Y069,F,POP,p,41515
2023S2,TOTAL,Y069,TOTAL,POP,p,77495
2023S2,TOTAL,Y070,M,POP,p,35364
2023S2,TOTAL,Y070,F,POP,p,41110
2023S2,TOTAL,Y070,TOTAL,POP,p,76474
2023S2,TOTAL,Y071,M,POP,p,33705
2023S2,TOTAL,Y071,F,POP,p,39735
2023S2,TOTAL,Y071,TOTAL,POP,p,73440
2023S2,TOTAL,Y072,M,POP,p,31587
2023S2,TOTAL,Y072,F,POP,p,37856
2023S2,TOTAL,Y072,TOTAL,POP,p,69443
2023S2,TOTAL,Y073,M,POP,p,31313
2023S2,TOTAL,Y073,F,POP,p,37909
2023S2,TOTAL,Y073,TOTAL,POP,p,69222
2023S2,TOTAL,Y074,M,POP,p,32204
2023S2,TOTAL,Y074,F,POP,p,39635
2023S2,TOTAL,Y074,TOTAL,POP,p,71839
2023S2,TOTAL,Y075,M,POP,p,31003
2023S2,TOTAL,Y075,F,POP,p,38654
2023S2,TOTAL,Y075,TOTAL,POP,p,69657
2023S2,TOTAL,Y076,M,POP,p,28109
2023S2,TOTAL,Y076,F,POP,p,35306
2023S2,TOTAL,Y076,TOTAL,POP,p,63415
2023S2,TOTAL,Y077,M,POP,p,27058
2023S2,TOTAL,Y077,F,POP,p,34667
2023S2,TOTAL,Y077,TOTAL,POP,p,61725
2023S2,TOTAL,Y078,M,POP,p,26020
2023S2,TOTAL,Y078,F,POP,p,34085
