SEMESTER,CAT,AGE,SEX,CONCEPT,status,value
1986S2,TOTAL,Y055,F,POP,,37654
1986S2,TOTAL,Y055,TOTAL,POP,,73260
1986S2,TOTAL,Y056,M,POP,,34746
1986S2,TOTAL,Y056,F,POP,,37079
1986S2,TOTAL,Y056,TOTAL,POP,,71825
1986S2,TOTAL,Y057,M,POP,,33705
1986S2,TOTAL,Y057,F,POP,,36015
1986S2,TOTAL,Y057,TOTAL,POP,,69720
1986S2,TOTAL,Y058,M,POP,,32909
1986S2,TOTAL,Y058,F,POP,,35462
1986S2,TOTAL,Y058,TOTAL,POP,,68371
1986S2,TOTAL,Y059,M,POP,,32510
1986S2,TOTAL,Y059,F,POP,,35186
1986S2,TOTAL,Y059,TOTAL,POP,,67696
1986S2,TOTAL,Y060,M,POP,,32181
1986S2,TOTAL,Y060,F,POP,,35050
1986S2,TOTAL,Y060,TOTAL,POP,,67231
1986S2,TOTAL,Y061,M,POP,,31259
1986S2,TOTAL,Y061,F,POP,,34323
1986S2,TOTAL,Y061,TOTAL,POP,,65582
1986S2,TOTAL,Y062,M,POP,,30318
1986S2,TOTAL,Y062,F,POP,,33221
1986S2,TOTAL,Y062,TOTAL,POP,,63539
1986S2,TOTAL,Y063,M,POP,,29236
1986S2,TOTAL,Y063,F,POP,,32635
1986S2,TOTAL,Y063,TOTAL,POP,,61871
1986S2,TOTAL,Y064,M,POP,,28256
1986S2,TOTAL,Y064,F,POP,,31785
1986S2,TOTAL,Y064,TOTAL,POP,,60041
1986S2,TOTAL,Y065,M,POP,,25721
1986S2,TOTAL,Y065,F,POP,,30608
1986S2,TOTAL,Y065,TOTAL,POP,,56329
1986S2,TOTAL,Y066,M,POP,,22204
1986S2,TOTAL,Y066,F,POP,,28373
1986S2,TOTAL,Y066,TOTAL,POP,,50577
1986S2,TOTAL,Y067,M,POP,,20357
1986S2,TOTAL,Y067,F,POP,,26471
1986S2,TOTAL,Y067,TOTAL,POP,,46828
1986S2,TOTAL,Y068,M,POP,,19336
1986S2,TOTAL,Y068,F,POP,,25611
1986S2,TOTAL,Y068,TOTAL,POP,,44947
1986S2,TOTAL,Y069,M,POP,,18319
1986S2,TOTAL,Y069,F,POP,,24403
1986S2,TOTAL,Y069,TOTAL,POP,,42722
1986S2,TOTAL,Y070,M,POP,,17775
1986S2,TOTAL,Y070,F,POP,,24005
1986S2,TOTAL,Y070,TOTAL,POP,,41780
1986S2,TOTAL,Y071,M,POP,,17443
1986S2,TOTAL,Y071,F,POP,,24178
1986S2,TOTAL,Y071,TOTAL,POP,,41621
1986S2,TOTAL,Y072,M,POP,,16831
1986S2,TOTAL,Y072,F,POP,,23753
1986S2,TOTAL,Y072,TOTAL,POP,,40584
1986S2,TOTAL,Y073,M,POP,,16071
1986S2,TOTAL,Y073,F,POP,,23011
1986S2,TOTAL,Y073,TOTAL,POP,,39082
1986S2,TOTAL,Y074,M,POP,,15074
1986S2,TOTAL,Y074,F,POP,,22076
1986S2,TOTAL,Y074,TOTAL,POP,,37150
1986S2,TOTAL,Y075,M,POP,,14071
1986S2,TOTAL,Y075,F,POP,,21430
1986S2,TOTAL,Y075,TOTAL,POP,,35501
1986S2,TOTAL,Y076,M,POP,,13123
1986S2,TOTAL,Y076,F,POP,,20633
1986S2,TOTAL,Y076,TOTAL,POP,,33756
1986S2,TOTAL,Y077,M,POP,,12018
1986S2,TOTAL,Y077,F,POP,,18955
1986S2,TOTAL,Y077,TOTAL,POP,,30973
1986S2,TOTAL,Y078,M,POP,,10872
1986S2,TOTAL,Y078,F,POP,,17520
1986S2,TOTAL,Y078,TOTAL,POP,,28392
1986S2,TOTAL,Y079,M,POP,,9586
1986S2,TOTAL,Y079,F,POP,,16338
1986S2,TOTAL,Y079,TOTAL,POP,,25924
1986S2,TOTAL,Y080,M,POP,,8446
1986S2,TOTAL,Y080,F,POP,,14990
1986S2,TOTAL,Y080,TOTAL,POP,,23436
1986S2,TOTAL,Y081,M,POP,,7401
1986S2,TOTAL,Y081,F,POP,,13470
1986S2,TOTAL,Y081,TOTAL,POP,,20871
1986S2,TOTAL,Y082,M,POP,,6538
1986S2,TOTAL,Y082,F,POP,,12049
1986S2,TOTAL,Y082,TOTAL,POP,,18587
1986S2,TOTAL,Y083,M,POP,,5720
1986S2,TOTAL,Y083,F,POP,,10883
1986S2,TOTAL,Y083,TOTAL,POP,,16603
1986S2,TOTAL,Y084,M,POP,,4823
1986S2,TOTAL,Y084,F,POP,,9436
1986S2,TOTAL,Y084,TOTAL,POP,,14259
1986S2,TOTAL,Y085,M,POP,,4087
1986S2,TOTAL,Y085,F,POP,,8473
1986S2,TOTAL,Y085,TOTAL,POP,,12560
1986S2,TOTAL,Y086,M,POP,,3138
1986S2,TOTAL,Y086,F,POP,,6812
1986S2,TOTAL,Y086,TOTAL,POP,,9950
1986S2,TOTAL,Y087,M,POP,,2344
1986S2,TOTAL,Y087,F,POP,,4971
1986S2,TOTAL,Y087,TOTAL,POP,,7315
1986S2,TOTAL,Y088,M,POP,,1842
1986S2,TOTAL,Y088,F,POP,,4065
1986S2,TOTAL,Y088,TOTAL,POP,,5907
1986S2,TOTAL,Y089,M,POP,,1456
1986S2,TOTAL,Y089,F,POP,,3403
1986S2,TOTAL,Y089,TOTAL,POP,,4859
1986S2,TOTAL,Y090,M,POP,,1144
1986S2,TOTAL,Y090,F,POP,,2793
1986S2,TOTAL,Y090,TOTAL,POP,,3937
1986S2,TOTAL,Y091,M,POP,,838
1986S2,TOTAL,Y091,F,POP,,2131
1986S2,TOTAL,Y091,TOTAL,POP,,2969
1986S2,TOTAL,Y092,M,POP,,571
1986S2,TOTAL,Y092,F,POP,,1504
1986S2,TOTAL,Y092,TOTAL,POP,,2075
1986S2,TOTAL,Y093,M,POP,,389
1986S2,TOTAL,Y093,F,POP,,1056
1986S2,TOTAL,Y093,TOTAL,POP,,1445
1986S2,TOTAL,Y094,M,POP,,290
1986S2,TOTAL,Y094,F,POP,,748
1986S2,TOTAL,Y094,TOTAL,POP,,1038
1986S2,TOTAL,Y095,M,POP,,204
1986S2,TOTAL,Y095,F,POP,,596
1986S2,TOTAL,Y095,TOTAL,POP,,800
1986S2,TOTAL,Y096,M,POP,,150
1986S2,TOTAL,Y096,F,POP,,457
1986S2,TOTAL,Y096,TOTAL,POP,,607
1986S2,TOTAL,Y097,M,POP,,104
1986S2,TOTAL,Y097,F,POP,,286
1986S2,TOTAL,Y097,TOTAL,POP,,390
1986S2,TOTAL,Y098,M,POP,,99
1986S2,TOTAL,Y098,F,POP,,319
1986S2,TOTAL,Y098,TOTAL,POP,,418
1986S2,TOTAL,Y_GE099,M,POP,,50
1986S2,TOTAL,Y_GE099,F,POP,,172
1986S2,TOTAL,Y_GE099,TOTAL,POP,,222
1986S2,TOTAL,TOTAL,M,POP,,2932340
1986S2,TOTAL,TOTAL,F,POP,,3056401
1986S2,TOTAL,TOTAL,TOTAL,POP,,5988741
1987S1,TOTAL,Y000,M,POP,,30659
1987S1,TOTAL,Y000,F,POP,,29130
1987S1,TOTAL,Y000,TOTAL,POP,,59789
1987S1,TOTAL,Y001,M,POP,,31611
1987S1,TOTAL,Y001,F,POP,,29721
1987S1,TOTAL,Y001,TOTAL,POP,,61332
1987S1,TOTAL,Y002,M,POP,,32265
1987S1,TOTAL,Y002,F,POP,,30322
1987S1,TOTAL,Y002,TOTAL,POP,,62587
1987S1,TOTAL,Y003,M,POP,,33511
1987S1,TOTAL,Y003,F,POP,,32184
1987S1,TOTAL,Y003,TOTAL,POP,,65695
1987S1,TOTAL,Y004,M,POP,,36937
1987S1,TOTAL,Y004,F,POP,,35061
1987S1,TOTAL,Y004,TOTAL,POP,,71998
1987S1,TOTAL,Y005,M,POP,,39340
1987S1,TOTAL,Y005,F,POP,,36989
1987S1,TOTAL,Y005,TOTAL,POP,,76329
1987S1,TOTAL,Y006,M,POP,,42181
1987S1,TOTAL,Y006,F,POP,,40089
1987S1,TOTAL,Y006,TOTAL,POP,,82270
1987S1,TOTAL,Y007,M,POP,,45310
1987S1,TOTAL,Y007,F,POP,,42300
1987S1,TOTAL,Y007,TOTAL,POP,,87610
1987S1,TOTAL,Y008,M,POP,,48284
1987S1,TOTAL,Y008,F,POP,,45542
1987S1,TOTAL,Y008,TOTAL,POP,,93826
1987S1,TOTAL,Y009,M,POP,,49846
1987S1,TOTAL,Y009,F,POP,,47372
1987S1,TOTAL,Y009,TOTAL,POP,,97218
1987S1,TOTAL,Y010,M,POP,,52042
1987S1,TOTAL,Y010,F,POP,,48954
1987S1,TOTAL,Y010,TOTAL,POP,,100996
1987S1,TOTAL,Y011,M,POP,,53994
1987S1,TOTAL,Y011,F,POP,,50439
1987S1,TOTAL,Y011,TOTAL,POP,,104433
1987S1,TOTAL,Y012,M,POP,,53152
1987S1,TOTAL,Y012,F,POP,,50009
1987S1,TOTAL,Y012,TOTAL,POP,,103161
1987S1,TOTAL,Y013,M,POP,,51998
1987S1,TOTAL,Y013,F,POP,,49056
1987S1,TOTAL,Y013,TOTAL,POP,,101054
1987S1,TOTAL,Y014,M,POP,,51763
1987S1,TOTAL,Y014,F,POP,,49084
1987S1,TOTAL,Y014,TOTAL,POP,,100847
1987S1,TOTAL,Y015,M,POP,,50878
1987S1,TOTAL,Y015,F,POP,,47447
1987S1,TOTAL,Y015,TOTAL,POP,,98325
1987S1,TOTAL,Y016,M,POP,,49720
1987S1,TOTAL,Y016,F,POP,,47560
1987S1,TOTAL,Y016,TOTAL,POP,,97280
1987S1,TOTAL,Y017,M,POP,,48351
1987S1,TOTAL,Y017,F,POP,,46144
1987S1,TOTAL,Y017,TOTAL,POP,,94495
1987S1,TOTAL,Y018,M,POP,,49184
1987S1,TOTAL,Y018,F,POP,,47198
1987S1,TOTAL,Y018,TOTAL,POP,,96382
1987S1,TOTAL,Y019,M,POP,,50313
1987S1,TOTAL,Y019,F,POP,,47942
1987S1,TOTAL,Y019,TOTAL,POP,,98255
1987S1,TOTAL,Y020,M,POP,,49635
1987S1,TOTAL,Y020,F,POP,,47282
1987S1,TOTAL,Y020,TOTAL,POP,,96917
1987S1,TOTAL,Y021,M,POP,,49016
1987S1,TOTAL,Y021,F,POP,,47027
1987S1,TOTAL,Y021,TOTAL,POP,,96043
1987S1,TOTAL,Y022,M,POP,,49899
1987S1,TOTAL,Y022,F,POP,,47758
1987S1,TOTAL,Y022,TOTAL,POP,,97657
1987S1,TOTAL,Y023,M,POP,,46715
1987S1,TOTAL,Y023,F,POP,,45741
1987S1,TOTAL,Y023,TOTAL,POP,,92456
1987S1,TOTAL,Y024,M,POP,,45991
1987S1,TOTAL,Y024,F,POP,,44940
1987S1,TOTAL,Y024,TOTAL,POP,,90931
1987S1,TOTAL,Y025,M,POP,,44942
1987S1,TOTAL,Y025,F,POP,,44462
1987S1,TOTAL,Y025,TOTAL,POP,,89404
1987S1,TOTAL,Y026,M,POP,,45267
1987S1,TOTAL,Y026,F,POP,,45237
1987S1,TOTAL,Y026,TOTAL,POP,,90504
1987S1,TOTAL,Y027,M,POP,,44763
1987S1,TOTAL,Y027,F,POP,,45081
1987S1,TOTAL,Y027,TOTAL,POP,,89844
1987S1,TOTAL,Y028,M,POP,,44878
1987S1,TOTAL,Y028,F,POP,,45263
1987S1,TOTAL,Y028,TOTAL,POP,,90141
1987S1,TOTAL,Y029,M,POP,,44284
1987S1,TOTAL,Y029,F,POP,,44705
1987S1,TOTAL,Y029,TOTAL,POP,,88989
1987S1,TOTAL,Y030,M,POP,,42108
1987S1,TOTAL,Y030,F,POP,,42399
1987S1,TOTAL,Y030,TOTAL,POP,,84507
1987S1,TOTAL,Y031,M,POP,,41843
1987S1,TOTAL,Y031,F,POP,,41907
1987S1,TOTAL,Y031,TOTAL,POP,,83750
1987S1,TOTAL,Y032,M,POP,,40793
1987S1,TOTAL,Y032,F,POP,,41262
1987S1,TOTAL,Y032,TOTAL,POP,,82055
1987S1,TOTAL,Y033,M,POP,,41297
1987S1,TOTAL,Y033,F,POP,,41570
1987S1,TOTAL,Y033,TOTAL,POP,,82867
1987S1,TOTAL,Y034,M,POP,,41975
1987S1,TOTAL,Y034,F,POP,,41883
1987S1,TOTAL,Y034,TOTAL,POP,,83858
1987S1,TOTAL,Y035,M,POP,,39556
1987S1,TOTAL,Y035,F,POP,,39972
1987S1,TOTAL,Y035,TOTAL,POP,,79528
1987S1,TOTAL,Y036,M,POP,,38771
1987S1,TOTAL,Y036,F,POP,,39088
1987S1,TOTAL,Y036,TOTAL,POP,,77859
1987S1,TOTAL,Y037,M,POP,,41266
1987S1,TOTAL,Y037,F,POP,,41187
1987S1,TOTAL,Y037,TOTAL,POP,,82453
1987S1,TOTAL,Y038,M,POP,,44056
