SEMESTER,CAT,AGE,SEX,CONCEPT,status,value
1981S1,TOTAL,Y049,M,POP,,37199
1981S1,TOTAL,Y049,F,POP,,37851
1981S1,TOTAL,Y049,TOTAL,POP,,75050
1981S1,TOTAL,Y050,M,POP,,37118
1981S1,TOTAL,Y050,F,POP,,39362
1981S1,TOTAL,Y050,TOTAL,POP,,76480
1981S1,TOTAL,Y051,M,POP,,35769
1981S1,TOTAL,Y051,F,POP,,36561
1981S1,TOTAL,Y051,TOTAL,POP,,72330
1981S1,TOTAL,Y052,M,POP,,35391
1981S1,TOTAL,Y052,F,POP,,37433
1981S1,TOTAL,Y052,TOTAL,POP,,72824
1981S1,TOTAL,Y053,M,POP,,34014
1981S1,TOTAL,Y053,F,POP,,35922
1981S1,TOTAL,Y053,TOTAL,POP,,69936
1981S1,TOTAL,Y054,M,POP,,34924
1981S1,TOTAL,Y054,F,POP,,36405
1981S1,TOTAL,Y054,TOTAL,POP,,71329
1981S1,TOTAL,Y055,M,POP,,33593
1981S1,TOTAL,Y055,F,POP,,36312
1981S1,TOTAL,Y055,TOTAL,POP,,69905
1981S1,TOTAL,Y056,M,POP,,33162
1981S1,TOTAL,Y056,F,POP,,34858
1981S1,TOTAL,Y056,TOTAL,POP,,68020
1981S1,TOTAL,Y057,M,POP,,31675
1981S1,TOTAL,Y057,F,POP,,33731
1981S1,TOTAL,Y057,TOTAL,POP,,65406
1981S1,TOTAL,Y058,M,POP,,31334
1981S1,TOTAL,Y058,F,POP,,34113
1981S1,TOTAL,Y058,TOTAL,POP,,65447
1981S1,TOTAL,Y059,M,POP,,30604
1981S1,TOTAL,Y059,F,POP,,31764
1981S1,TOTAL,Y059,TOTAL,POP,,62368
1981S1,TOTAL,Y060,M,POP,,26252
1981S1,TOTAL,Y060,F,POP,,32267
1981S1,TOTAL,Y060,TOTAL,POP,,58519
1981S1,TOTAL,Y061,M,POP,,23142
1981S1,TOTAL,Y061,F,POP,,27482
1981S1,TOTAL,Y061,TOTAL,POP,,50624
1981S1,TOTAL,Y062,M,POP,,22546
1981S1,TOTAL,Y062,F,POP,,28156
1981S1,TOTAL,Y062,TOTAL,POP,,50702
1981S1,TOTAL,Y063,M,POP,,21132
1981S1,TOTAL,Y063,F,POP,,25966
